ID,release_type,Sex,SVL,Date,Time,hours,Temp,Rainfall,Humidity,Cloud cover,Fix,Distance,Direction,Ht_ground,Tree spp,Tree_ht,Microhabitat,Orientation,Activity,Disturbed
13/Onaji,SR,F,83,28/02/18,2249,31.87,17.1,0.2,92,8,24,0.75,350,NA,OLE,3.3,NA,NA,NA,No
13/Onaji,SR,F,83,1/03/18,2350,25.02,17.5,0,82,8,25,9.12,74,3.27,PITten,3.64,foliage,NA,NA,No
13/Onaji,SR,F,83,2/03/18,1401,14.18,23.2,0,70,8,26,3.24,78,3.13,PITten,3.56,4 branch,up,not moving,Yes
13/Onaji,SR,F,83,4/03/18,0,33.98,19.7,0,75,5,27,0.42,302,NA,PITten,3.56,?foliage,NA,NA,No
13/Onaji,SR,F,83,5/03/18,1542,39.70,21.4,0,76,8,28,5.88,290,NA,kanuka,3.33,NA,NA,NA,No
13/Onaji,SR,F,83,7/03/18,2323,55.68,13.6,3,83,6,29,8.65,225,1.5,OLE,3.67,1 branch,up,not moving,Yes
14/G13or16,SR,M,79,23/01/18,1536,NA,23.6,0,78,6,0,NA,NA,2.1,OLE,3.4,1 branch,NA,NA,No
14/G13or16,SR,M,79,23/01/18,26,8.83,22.2,0,82,8,1,7.8,220,NA,Coprabrara,3.2,?foliage,NA,NA,No
14/G13or16,SR,M,79,24/01/18,1530,15.07,26.3,0,70,0.5,2,3.45,150,NA,Coprabrara,3.2,NA,NA,NA,No
14/G13or16,SR,M,79,28/01/18,1539,96.15,26.5,0,63,0,3,1.55,202,0,UNID5,2.4,ground,NA,NA,No
15/G10,SR,F,82,24/01/18,30,NA,21.1,0,90,0.5,0,NA,NA,3.3,kanuka,3.7,foliage,NA,NA,No
15/G10,SR,F,82,28/01/18,1608,111.63,26.5,0,63,0,1,7.6,302,NA,kanuka,4.9,NA,NA,NA,No
15/G10,SR,F,82,29/01/18,1517,23.15,24.3,0,69,0,2,7.3,150,3.3,kanuka,3.8,5 branch,up,not moving,No
15/G10,SR,F,82,30/01/18,1349,22.53,24.3,0,75,7,3,0.35,350,3.7,kanuka,3.8,3 branch,NA,NA,No
15/G10,SR,F,82,2/02/18,1316,71.45,21.3,0,66,6.5,4,4.33,320,1.4,PITten,3.5,4 branch,NA,NA,No
16/G38,SR,F,84,28/01/18,1627,NA,26.5,0,63,0,0,NA,NA,3.1,kanuka,4,2 branch,down,not moving,maybe
